2023.05.25 06:19:33:115 | Customer   | Information | Торговля советником ЗАПРЕЩЕНА !
2023.05.25 06:19:33:515 | Customer   | Information | Попытка запуска приложения "BOT v1.00"...
2023.05.25 06:19:33:845 | Customer   | Information | Запуск приложения "BOT v1.00" выполнен.
2023.05.25 06:19:33:846 | Customer   | Information | При запуске приложения параметры: Grid_Percent_Size= 1,0, Lot_Size= 1,0...
2023.05.25 06:19:46:072 | Customer   | Information | Торговля советником РАЗРЕШЕНА !
2023.05.25 06:19:46:697 | Customer   | Information | Торговля советником ЗАПРЕЩЕНА !
2023.05.25 06:20:02:837 | Customer   | Information | Приложение "BOT v1.00" закрыто пользователем...
2023.05.25 06:20:25:605 | Customer   | Information | Торговля советником ЗАПРЕЩЕНА !
2023.05.25 06:20:25:844 | Customer   | Information | Попытка запуска приложения "BOT v1.00"...
2023.05.25 06:20:25:948 | Customer   | Information | Запуск приложения "BOT v1.00" выполнен.
2023.05.25 06:20:25:948 | Customer   | Information | При запуске приложения параметры: Grid_Percent_Size= 1,0, Lot_Size= 1,0...
2023.05.25 06:20:39:344 | Customer   | Information | Приложение "BOT v1.00" закрыто пользователем...
2023.05.25 06:21:11:758 | Customer   | Information | Торговля советником ЗАПРЕЩЕНА !
2023.05.25 06:21:11:995 | Customer   | Information | Попытка запуска приложения "BOT v1.00"...
2023.05.25 06:21:12:097 | Customer   | Information | Запуск приложения "BOT v1.00" выполнен.
2023.05.25 06:21:12:098 | Customer   | Information | При запуске приложения параметры: Grid_Percent_Size= 1,0, Lot_Size= 1,0...
2023.05.25 06:21:39:660 | Customer   | Information | Торговля советником РАЗРЕШЕНА !
2023.05.25 06:22:35:399 | Customer   | Information | Приложение "BOT v1.00" закрыто пользователем...
2023.05.25 06:27:35:676 | Customer   | Information | Торговля советником ЗАПРЕЩЕНА !
2023.05.25 06:27:35:912 | Customer   | Information | Попытка запуска приложения "BOT v1.00"...
2023.05.25 06:27:36:017 | Customer   | Information | Запуск приложения "BOT v1.00" выполнен.
2023.05.25 06:27:36:018 | Customer   | Information | При запуске приложения параметры: Grid_Percent_Size= 1,0, Lot_Size= 1,0...
2023.05.25 06:29:27:990 | Customer   | Information | Приложение "BOT v1.00" закрыто пользователем...
2023.05.25 06:43:08:472 | Customer   | Information | Торговля советником ЗАПРЕЩЕНА !
2023.05.25 06:43:08:718 | Customer   | Information | Попытка запуска приложения "BOT v1.00"...
2023.05.25 06:43:08:822 | Customer   | Information | Запуск приложения "BOT v1.00" выполнен.
2023.05.25 06:43:08:822 | Customer   | Information | При запуске приложения параметры: Grid_Percent_Size= 1,0, Lot_Size= 1,0...
2023.05.25 06:44:05:545 | Customer   | Information | Торговля советником РАЗРЕШЕНА !
2023.05.25 06:44:35:122 | Customer   | Information | Торговля советником ЗАПРЕЩЕНА !
2023.05.25 06:45:33:456 | Customer   | Information | Торговля советником РАЗРЕШЕНА !
2023.05.25 06:47:37:586 | Customer   | Information | Торговля советником ЗАПРЕЩЕНА !
2023.05.25 06:47:42:652 | Customer   | Information | Приложение "BOT v1.00" закрыто пользователем...
2023.05.25 06:48:30:053 | Customer   | Information | Торговля советником ЗАПРЕЩЕНА !
2023.05.25 06:48:30:304 | Customer   | Information | Попытка запуска приложения "BOT v1.00"...
2023.05.25 06:48:30:410 | Customer   | Information | Запуск приложения "BOT v1.00" выполнен.
2023.05.25 06:48:30:410 | Customer   | Information | При запуске приложения параметры: Grid_Percent_Size= 1,0, Lot_Size= 1,0...
2023.05.25 06:49:01:187 | Customer   | Information | Торговля советником РАЗРЕШЕНА !
2023.05.25 06:50:06:565 | Customer   | Information | Приложение "BOT v1.00" закрыто пользователем...
2023.05.25 08:08:56:724 | Customer   | Information | Торговля советником ЗАПРЕЩЕНА !
2023.05.25 08:08:56:966 | Customer   | Information | Попытка запуска приложения "BOT v1.00"...
2023.05.25 08:08:57:071 | Customer   | Information | Запуск приложения "BOT v1.00" выполнен.
2023.05.25 08:08:57:071 | Customer   | Information | При запуске приложения параметры: Grid_Percent_Size= 1,0, Lot_Size= 1,0...
2023.05.25 08:09:06:029 | Customer   | Information | Торговля советником РАЗРЕШЕНА !
2023.05.25 08:09:07:118 | Customer   | Information | Торговля советником ЗАПРЕЩЕНА !
2023.05.25 08:09:30:621 | Customer   | Information | Приложение "BOT v1.00" закрыто пользователем...
